Type of measurement,value
wake_up_time,1153364
measurement_time_start,1154556
measurement_time_end,1178657
Wifion_time,1178969
sending_time_start,1371063
sending_time_end,1371346
Wifioff_time,1406254
sleep_time,1408305
wake_up_time,2586774
measurement_time_start,2587935
measurement_time_end,2612038
Wifion_time,2612352
sending_time_start,2795772
sending_time_end,2796124
Wifioff_time,2830969
sleep_time,2833020
wake_up_time,21773751
measurement_time_start,21774936
measurement_time_end,21799022
Wifion_time,21799346
sending_time_start,21982953
sending_time_end,21983156
Wifioff_time,22018258
sleep_time,22020396
wake_up_time,23212460
measurement_time_start,23213646
measurement_time_end,23237733
Wifion_time,23238056
sending_time_start,23421663
sending_time_end,23421867
Wifioff_time,23456969
sleep_time,23459107
wake_up_time,24651012
measurement_time_start,24652202
measurement_time_end,24676316
Wifion_time,24676631
sending_time_start,24860226
sending_time_end,24860381
Wifioff_time,24895510
sleep_time,24897648
wake_up_time,26086344
measurement_time_start,26087506
measurement_time_end,26111613
Wifion_time,26111928
sending_time_start,26295342
sending_time_end,26295701
Wifioff_time,26330538
sleep_time,26332676
wake_up_time,71196351
measurement_time_start,71197513
measurement_time_end,71221619
Wifion_time,71221935
sending_time_start,71405349
sending_time_end,71405708
Wifioff_time,71440545
sleep_time,71442683
wake_up_time,72630369
measurement_time_start,72631545
measurement_time_end,72655650
Wifion_time,72655965
sending_time_start,72840063
sending_time_end,72840421
Wifioff_time,72875259
sleep_time,72877396
wake_up_time,74064229
measurement_time_start,74065429
measurement_time_end,74089541
Wifion_time,74089855
sending_time_start,74273538
sending_time_end,74273897
Wifioff_time,74308734
sleep_time,74310872
wake_up_time,75498495
measurement_time_start,75499671
measurement_time_end,75523776
Wifion_time,75524091
sending_time_start,75708188
sending_time_end,75708547
Wifioff_time,75743385
sleep_time,75745522
wake_up_time,76932519
measurement_time_start,76933630
measurement_time_end,76957736
Wifion_time,76958052
sending_time_start,77141622
sending_time_end,77141981
Wifioff_time,77176818
sleep_time,77178956
