#nrNodes nrCollisions nrTransmissions OverallEnergy
50 10421 250278 43572.4947948
100 39405 498710 86823.6076646
200 159307 1000254 174140.604482
300 343913 1501045 261326.506721
400 574643 1999832 348163.519807
500 839092 2500297 435292.666626
600 1162549 2995934 521581.276103
700 1539561 3496083 608655.408464
800 1915421 3996893 695844.618535
900 2289461 4494948 782554.193068
1000 2690759 4995007 869612.656755
1200 3621787 5991129 1043033.89498
1400 4519324 6992936 1217444.87114
1600 5486758 7984646 1390097.99612
