#nrNodes nrCollisions nrTransmissions OverallEnergy
50 25851 249628 43459.3321452
100 91542 499805 87014.2432051
200 335694 999067 173933.952074
300 695242 1498554 260892.832629
400 1083409 1997144 347695.548727
500 1564014 2498327 434949.69675
600 2059173 2996943 521756.939354
700 2572122 3499419 609236.194001
800 3118770 3997891 696018.366726
900 3655900 4497204 782946.95451
1000 4173295 4995064 869622.580249
1200 5204471 5995830 1043852.32208
1400 6281080 6986216 1216274.94344
1600 7330568 7991585 1391306.05093
